0 -0
5.00678E-06 1.28883
1.00135E-05 2.57767
1.75236E-05 4.51093
2.8729E-05 7.41081
4.56561E-05 11.7607
7.0927E-05 18.2855
0.000108951 28.0727
0.000165806 42.7537
0.000251262 64.7755
0.000379371 97.8088
0.000571445 147.36
0.000859606 221.489
0.00129163 329.547
0.00179083 377.467
0.00228989 382.24
0.00278859 384.513
0.00328703 386.019
0.00378523 387.208
0.0042833 388.238
0.004781 389.194
0.00527846 390.103
0.00577579 390.981
0.00627275 391.837
0.00676946 392.675
0.00726605 393.497
0.00776227 394.305
0.00825824 395.101
0.00875409 395.887
0.00924957 396.66
0.00974481 397.423
0.0102398 398.176
0.0107347 398.921
0.0112292 399.657
0.0117234 400.386
0.0122176 401.107
0.0127113 401.82
0.0132049 402.528
0.0136983 403.228
0.0141913 403.922
0.0146841 404.61
0.0151767 405.292
0.0156691 405.967
0.0161612 406.637
0.016653 407.301
0.0171447 407.958
0.017636 408.61
0.0181271 409.256
0.0186181 409.896
0.0191087 410.53
0.0195991 411.157
0.0200894 411.78
0.0205793 412.391
0.0210689 413.005
0.0215584 413.588
0.0220477 414.197
0.0225366 414.777
0.0230253 415.351
0.0235139 415.916
0.0240021 416.474
0.0244901 417.024
0.024978 417.568
0.0254655 418.106
0.0259527 418.635
0.0264399 419.158
0.0269267 419.672
0.0274133 420.178
0.0278996 420.675
0.0283858 421.163
0.0288716 421.638
0.0293573 422.101
0.0298428 422.553
0.0303279 422.994
0.0308128 423.423
0.0312975 423.841
0.031782 424.247
0.0322662 424.642
0.0327503 425.026
0.0332341 425.4
0.0337176 425.765
0.0342009 426.121
0.034684 426.471
0.0351668 426.815
0.0356494 427.154
0.0361318 427.488
0.0366139 427.818
0.0370958 428.145
0.0375774 428.469
0.038059 428.789
0.0385402 429.108
0.0390211 429.424
0.0395019 429.739
0.0399824 430.052
0.0404627 430.364
0.0409428 430.675
0.0414226 430.985
0.0419022 431.294
0.0423816 431.603
0.0428607 431.91
0.0433396 432.217
0.0438182 432.524
0.0442967 432.829
0.0447749 433.135
0.0452529 433.439
0.0457307 433.744
0.0462082 434.047
0.0466855 434.349
0.0471626 434.652
0.0476395 434.953
0.0481161 435.255
0.0485926 435.556
0.0487901 435.681
